,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
6480,35-39,Man,United States of America,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,"10,000 or more employees","100,000-124,999",Snowflake ,Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub   Kaggle 
6484,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,A laptop,Other,0-49 employees,"3,000-3,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning", Kaggle 
6492,35-39,Man,India,Master’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,0-49 employees,"10,000-14,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
6493,25-29,Man,India,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Computers/Technology,"10,000 or more employees","5,000-7,499",,"Python, SQL, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ", None of these activities are an important part of my role at work,
6497,40-44,Man,Other,No formal education past high school,Business Analyst,10-20 years,A laptop,Shipping/Transportation,"10,000 or more employees","50,000-59,999",," R, SQL",RStudio ,Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,
6501,25-29,Man,India,Bachelor’s degree,Data Analyst,I have never written code,,Online Service/Internet-based Services,"10,000 or more employees",$0-999,,,,, Other,
6502,50-54,Man,Australia,Master’s degree,Data Analyst,20+ years,A laptop,Government/Public Service,"10,000 or more employees","70,000-79,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
6507,25-29,Man,Peru,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Marketing/CRM,0-49 employees,"3,000-3,999",Microsoft SQL Server ,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
6511,30-34,Woman,India,Master’s degree,Data Analyst,5-10 years,A laptop,Hospitality/Entertainment/Sports,50-249 employees,$0-999,PostgreSQL ,"Python, SQL, Bash","RStudio ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Bokeh ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
6537,35-39,Man,Thailand,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,250-999 employees,"10,000-14,999",Microsoft SQL Server ,"Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub   Personal blog   Colab  Other
6540,35-39,Man,United Arab Emirates,Master’s degree,Data Analyst,10-20 years,A laptop,Medical/Pharmaceutical,50-249 employees,,,"Python, SQL, Java","Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",
6545,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,A laptop,Manufacturing/Fabrication,"1000-9,999 employees","1,000-1,999",, SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
6547,40-44,Woman,India,Master’s degree,Business Analyst,< 1 years,A laptop,Computers/Technology,"10,000 or more employees","1,000-1,999",," SQL, C","Visual Studio , Notepad++,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
6560,22-24,Man,Indonesia,Bachelor’s degree,Data Analyst,1-3 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Academics/Education,0-49 employees,$0-999,,"Python, C, C++, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder,MATLAB ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
6581,45-49,Man,Kenya,Bachelor’s degree,Data Analyst,20+ years,A personal computer / desktop,Government/Public Service,"1000-9,999 employees","1,000-1,999",Google Cloud BigQuery ,"Python, R, SQL, Javascript","RStudio , Notepad++, Other"," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas", Personal blog   Colab 
6582,25-29,Man,India,Master’s degree,Business Analyst,I have never written code,,Government/Public Service,"1000-9,999 employees",$0-999,,,,,Analyze and understand data to influence product or business decisions,
6583,30-34,Man,Brazil,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Manufacturing/Fabrication,250-999 employees,"7,500-9,999",," R, SQL, Javascript","RStudio , Sublime Text,Jupyter Notebook","Ggplot / ggplot2 ,Shiny , Other","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models", GitHub 
6585,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,I have never written code,,Marketing/CRM,50-249 employees,"1,000-1,999",,,,,Analyze and understand data to influence product or business decisions,
6596,50-54,Man,Japan,Master’s degree,Business Analyst,10-20 years,A laptop,Insurance/Risk Assessment,"10,000 or more employees","10,000-14,999",, Other,RStudio , None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
6605,22-24,Man,Brazil,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Retail/Sales,"10,000 or more employees","4,000-4,999",Microsoft Azure SQL Database ,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
6614,18-21,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,"1000-9,999 employees",,,"Python, SQL, C, C++, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Notepad++"," Matplotlib ,Seaborn ,Bokeh ",,
6617,60-69,Man,Canada,Master’s degree,Business Analyst,20+ years,A personal computer / desktop,Insurance/Risk Assessment,"10,000 or more employees","250,000-299,999",Microsoft SQL Server ,"Python, R, SQL, C, Java, Javascript","RStudio ,Jupyter Notebook","Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions, GitHub   Shiny 
6637,40-44,Man,Ireland,Doctoral degree,Data Analyst,1-3 years,A personal computer / desktop,Academics/Education,250-999 employees,"50,000-59,999",MySQL ,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas", GitHub   Kaggle 
6643,25-29,Man,Pakistan,Master’s degree,Data Analyst,3-5 years,A laptop,Government/Public Service,250-999 employees,$0-999,Microsoft SQL Server ,"Python, SQL, Other","Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Personal blog   Kaggle 
6646,60-69,Man,Other,Master’s degree,Business Analyst,< 1 years,A laptop,Online Service/Internet-based Services,0-49 employees,"50,000-59,999",,Python,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",I do not share my work publicly
6664,40-44,Man,Nigeria,Bachelor’s degree,Business Analyst,3-5 years,A personal computer / desktop,Other,0-49 employees,$0-999,,"Python, Other", None, Other,Analyze and understand data to influence product or business decisions, GitHub   Personal blog   Kaggle 
6665,40-44,Man,India,Bachelor’s degree,Data Analyst,10-20 years,A laptop,Computers/Technology,"10,000 or more employees","20,000-24,999",Other,"Python, SQL","PyCharm ,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
6669,35-39,Man,Ireland,Master’s degree,Business Analyst,< 1 years,A laptop,Retail/Sales,"1000-9,999 employees","40,000-49,999",,Python,Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions, Colab 
6670,45-49,Man,Poland,Bachelor’s degree,Business Analyst,< 1 years,A laptop,,,,,"Python, SQL, Other", Other,,,
6674,35-39,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,A laptop,Computers/Technology,0-49 employees,"5,000-7,499",, C,"Visual Studio Code (VSCode) ,PyCharm ", Matplotlib ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
6700,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Energy/Mining,0-49 employees,"4,000-4,999",,Python,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub 
6703,18-21,Man,China,Bachelor’s degree,Business Analyst,I have never written code,,Academics/Education,0-49 employees,$0-999,,,,,Analyze and understand data to influence product or business decisions,
6709,50-54,Man,Australia,Master’s degree,Data Analyst,20+ years,A laptop,Accounting/Finance,"10,000 or more employees","100,000-124,999",, None, Spyder, Other,Analyze and understand data to influence product or business decisions,
6710,22-24,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Non-profit/Service,0-49 employees,$0-999,MySQL ,"Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio "," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle 
6720,45-49,Man,Brazil,Master’s degree,Data Analyst,5-10 years,A personal computer / desktop,Other,250-999 employees,"70,000-79,999",,"Python, R, SQL, Java, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) , Spyder, Notepad++, Sublime Text"," Matplotlib ,Altair ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",
6721,55-59,Man,United States of America,Master’s degree,Data Analyst,5-10 years,A personal computer / desktop,Computers/Technology,0-49 employees,"80,000-89,999",Microsoft SQL Server ,"Python, R, SQL, MATLAB","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,MATLAB "," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub   Personal blog 
6736,22-24,Man,India,Master’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,250-999 employees,$0-999,,Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ", Build prototypes to explore applying machine learning to new areas, GitHub 
6749,22-24,Man,China,Master’s degree,Data Analyst,3-5 years,None,Retail/Sales,0-49 employees,"1,000-1,999",,Python,PyCharm , None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
6754,22-24,Man,India,Master’s degree,Business Analyst,I have never written code,,Retail/Sales,0-49 employees,$0-999,,,,,Analyze and understand data to influence product or business decisions,
